Query	PT	ST	STCa	STCo 	STCoCa	EVPBT	EVP
L1	3938	4775	4384	4552	4409	728	471
L2	2140	2372	2208	2347	2394	661	498
L3	3630	4346	4021	3484	3425	776	549
L4	2616	2340	2359	2329	2364	502	209
L5	1914	1110	1050	1068	1096	364	270
S1	17386	7977	7794	6781	6577	2169	2208
S2	5368	4218	4156	3996	3982	886	607
S3	2816	2945	2875	2975	2972	734	311
S4	2442	2522	2503	2243	2197	564	329
S5	3142	2968	2858	3004	2950	743	260
S6	2260	3735	3741	3252	3167	530	235
S7	3476	4581	3969	3796	3779	812	420
F1	4420	3569	3614	3207	3173	1206	590
F2	9316	4043	4102	4183	4101	1619	1226
F3	12090	8306	7713	7861	7665	2247	1969
F4	11668	10184	9692	7307	7303	1936	1265
F5	19516	8331	7934	6661	6593	2512	2254
C1	23136	4247	4753	4223	4345	3224	2508
C2	39710	16770	16212	15896	15567	3410	2740
C3	37462	7899	8458	5451	5460	12477	16407
